,Measured Temp (C),Profile
1203,23.0,30
1204,24.0,30
1205,23.0,30
1206,24.0,30
1207,23.0,30
1208,23.0,30
1209,24.0,30
1210,24.0,30
1211,24.0,30
1212,24.0,30
1213,24.0,30
1214,24.0,30
1215,24.0,30
1216,24.0,30
1217,24.0,30
1218,24.0,30
1219,24.0,30
1220,24.0,30
1221,25.0,30
1222,24.0,30
1223,24.0,30
1224,24.0,30
1225,24.0,30
1226,25.0,30
1227,24.0,30
1228,25.0,30
1229,25.0,30
1230,25.0,30
1231,24.0,30
1232,24.0,30
1233,25.0,30
1234,24.0,30
1235,25.0,30
1236,24.0,30
1237,25.0,30
1238,25.0,30
1239,25.0,30
1240,24.0,30
1241,25.0,30
1242,25.0,30
1243,24.0,30
1244,25.0,30
1245,25.0,30
1246,25.0,30
1247,25.0,30
1248,25.0,30
1249,25.0,30
1250,24.0,30
1251,25.0,30
1252,25.0,30
1253,24.0,30
1254,25.0,30
1255,25.0,30
1256,25.0,30
1257,25.0,30
1258,25.0,30
1259,25.0,30
1260,25.0,30
1261,25.0,30
1262,25.0,30
1263,24.0,30
1264,25.0,30
1265,25.0,30
1266,25.0,30
1267,24.0,30
1268,25.0,30
1269,25.0,30
1270,25.0,30
1271,25.0,30
1272,25.0,30
1273,25.0,30
1274,25.0,30
1275,25.0,30
1276,25.0,30
1277,25.0,30
1278,25.0,30
1279,25.0,30
1280,25.0,30
1281,25.0,30
1282,25.0,30
1283,25.0,30
1284,25.0,30
1285,25.0,30
1286,25.0,30
1287,25.0,30
1288,25.0,30
1289,25.0,30
1290,25.0,30
1291,25.0,30
1292,25.0,30
1293,25.0,30
1294,26.0,30
1295,25.0,30
1296,25.0,30
1297,25.0,30
1298,25.0,30
1299,25.0,30
1300,25.0,30
1301,26.0,30
1302,25.0,30
1303,25.0,30
1304,25.0,30
1305,25.0,30
1306,26.0,30
1307,25.0,30
1308,25.0,30
1309,25.0,30
1310,25.0,30
1311,25.0,30
1312,26.0,30
1313,26.0,30
1314,25.0,30
1315,25.0,30
1316,26.0,30
1317,26.0,30
1318,25.0,30
1319,26.0,30
1320,26.0,30
1321,26.0,30
1322,26.0,30
1323,26.0,30
1324,26.0,30
1325,26.0,30
1326,26.0,30
1327,26.0,30
1328,26.0,30
1329,26.0,30
1330,26.0,30
1331,27.0,30
1332,26.0,30
1333,26.0,30
1334,27.0,30
1335,27.0,30
1336,26.0,30
1337,26.0,30
1338,27.0,30
1339,27.0,30
1340,26.0,30
1341,26.0,30
1342,26.0,30
1343,26.0,30
1344,27.0,30
1345,26.0,30
1346,27.0,30
1347,26.0,30
1348,27.0,30
1349,27.0,30
1350,26.0,30
1351,27.0,30
1352,26.0,30
1353,27.0,30
1354,26.0,30
1355,27.0,30
1356,27.0,30
1357,27.0,30
1358,27.0,30
1359,27.0,30
1360,27.0,30
1361,27.0,30
1362,26.0,30
1363,27.0,30
1364,27.0,30
1365,27.0,30
1366,27.0,30
1367,27.0,30
1368,27.0,30
1369,27.0,30
1370,27.0,30
1371,27.0,30
1372,27.0,30
1373,27.0,30
1374,27.0,30
1375,27.0,30
1376,27.0,30
1377,27.0,30
1378,27.0,30
1379,27.0,30
1380,27.0,30
1381,27.0,30
1382,26.0,30
1383,27.0,30
1384,27.0,30
1385,27.0,30
1386,27.0,30
1387,27.0,30
1388,27.0,30
1389,27.0,30
1390,27.0,30
1391,27.0,30
1392,27.0,30
1393,27.0,30
1394,27.0,30
1395,27.0,30
1396,27.0,30
1397,27.0,30
1398,27.0,30
1399,27.0,30
1400,27.0,30
1401,27.0,30
1402,27.0,30
1403,27.0,30
1404,27.0,30
1405,27.0,30
1406,27.0,30
1407,27.0,30
1408,27.0,30
1409,27.0,30
1410,27.0,30
1411,27.0,30
1412,27.0,30
1413,27.0,30
1414,27.0,30
1415,27.0,30
1416,27.0,30
1417,27.0,30
1418,27.0,30
1419,27.0,30
1420,27.0,30
1421,27.0,30
1422,27.0,30
1423,27.0,30
1424,27.0,30
1425,27.0,30
1426,27.0,30
1427,27.0,30
1428,27.0,30
1429,27.0,30
1430,27.0,30
1431,27.0,30
1432,27.0,30
1433,27.0,30
1434,27.0,30
1435,27.0,30
1436,27.0,30
1437,27.0,30
1438,27.0,30
1439,27.0,30
1440,27.0,30
1441,27.0,30
1442,27.0,30
1443,27.0,30
1444,27.0,30
1445,27.0,30
1446,28.0,30
1447,27.0,30
1448,27.0,30
1449,27.0,30
1450,27.0,30
1451,27.0,30
1452,27.0,30
1453,27.0,30
1454,27.0,30
1455,27.0,30
1456,27.0,30
1457,28.0,30
1458,27.0,30
1459,27.0,30
1460,27.0,30
1461,27.0,30
1462,27.0,30
1463,28.0,30
1464,27.0,30
1465,27.0,30
1466,27.0,30
1467,27.0,30
1468,29.0,30
1469,28.0,30
1470,27.0,30
1471,27.0,30
1472,28.0,30
1473,28.0,30
1474,27.0,30
1475,28.0,30
1476,27.0,30
1477,27.0,30
1478,27.0,30
1479,27.0,30
1480,27.0,30
1481,27.0,30
1482,28.0,30
1483,28.0,30
1484,28.0,30
1485,27.0,30
1486,28.0,30
1487,28.0,30
1488,28.0,30
1489,27.0,30
1490,28.0,30
1491,27.0,30
1492,28.0,30
1493,28.0,30
1494,27.0,30
1495,27.0,30
1496,28.0,30
1497,27.0,30
1498,28.0,30
1499,28.0,30
1500,28.0,30
1501,27.0,30
1502,28.0,30
1503,27.0,30
1504,27.0,30
1505,27.0,30
1506,27.0,30
1507,27.0,30
1508,27.0,30
1509,27.0,30
1510,27.0,30
1511,28.0,30
1512,27.0,30
1513,27.0,30
1514,27.0,30
1515,27.0,30
1516,28.0,30
1517,27.0,30
1518,27.0,30
1519,27.0,30
1520,27.0,30
1521,27.0,30
1522,28.0,30
1523,27.0,30
1524,27.0,30
1525,28.0,30
1526,27.0,30
1527,27.0,30
1528,27.0,30
1529,28.0,30
1530,27.0,30
1531,28.0,30
1532,28.0,30
1533,28.0,30
1534,28.0,30
1535,28.0,30
1536,27.0,30
1537,28.0,30
1538,28.0,30
1539,28.0,30
1540,28.0,30
1541,28.0,30
1542,27.0,30
1543,28.0,30
1544,28.0,30
1545,27.0,30
1546,27.0,30
1547,28.0,30
1548,28.0,30
1549,27.0,30
1550,28.0,30
1551,28.0,30
1552,28.0,30
1553,28.0,30
1554,28.0,30
1555,28.0,30
1556,27.0,30
1557,28.0,30
1558,28.0,30
1559,27.0,30
1560,28.0,30
1561,28.0,30
1562,28.0,30
1563,27.0,30
1564,27.0,30
1565,27.0,30
1566,28.0,30
1567,27.0,30
1568,28.0,30
1569,28.0,30
1570,27.0,30
1571,28.0,30
1572,27.0,30
1573,28.0,30
1574,27.0,30
1575,28.0,30
1576,27.0,30
1577,28.0,30
1578,27.0,30
1579,28.0,30
1580,28.0,30
1581,27.0,30
1582,28.0,30
1583,27.0,30
1584,28.0,30
1585,28.0,30
1586,28.0,30
1587,27.0,30
1588,28.0,30
1589,27.0,30
1590,28.0,30
1591,28.0,30
1592,28.0,30
1593,27.0,30
1594,27.0,30
1595,28.0,30
1596,28.0,30
1597,28.0,30
1598,28.0,30
1599,28.0,30
1600,27.0,30
1601,28.0,30
1602,28.0,30
1603,27.0,30
1604,28.0,30
1605,28.0,30
1606,28.0,30
1607,28.0,30
1608,28.0,30
1609,28.0,30
1610,28.0,30
1611,28.0,30
1612,27.0,30
1613,28.0,30
1614,28.0,30
1615,27.0,30
1616,28.0,30
1617,28.0,30
1618,27.0,30
1619,27.0,30
1620,28.0,30
1621,28.0,30
1622,28.0,30
1623,28.0,30
1624,28.0,30
1625,28.0,30
1626,28.0,30
1627,28.0,30
1628,28.0,30
1629,28.0,30
1630,28.0,30
1631,27.0,30
1632,28.0,30
1633,27.0,30
1634,28.0,30
1635,28.0,30
1636,27.0,30
1637,28.0,30
1638,27.0,30
1639,28.0,30
1640,28.0,30
1641,27.0,30
1642,28.0,30
1643,27.0,30
1644,28.0,30
1645,28.0,30
1646,27.0,30
1647,28.0,30
1648,27.0,30
1649,27.0,30
1650,28.0,30
1651,28.0,30
1652,28.0,30
1653,28.0,30
1654,27.0,30
1655,28.0,30
1656,27.0,30
1657,28.0,30
1658,27.0,30
1659,28.0,30
1660,28.0,30
